zip_code,owner_occupied,gross_area,total_value,bed_rms,full_bth,half_bth,kitchens,total_num_rooms,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_type_rank,overall_condition_rank,heat_type_rank,land_use_description_rank,zipcode_4tier_rank,adjusted_tax
02128,0,4319.0,851500.0,5.0,3.0,1.0,2.0,14.0,0.0,0.0,3.0,120.0,2.0,0,4,6,3,3,9860.37
02128,1,4958.0,998900.0,8.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,120.0,5.0,0,3,5,4,3,7583.05
02128,0,4544.0,1262400.0,8.0,3.0,0.0,3.0,14.0,0.0,3.0,3.0,125.0,9.0,1,3,5,4,3,14618.59
02128,0,5000.0,1015700.0,8.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,3,11761.81
02128,0,5200.0,959300.0,8.0,3.0,0.0,3.0,17.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,11108.69
02128,0,5310.0,1031900.0,8.0,3.0,0.0,3.0,11.0,0.0,0.0,3.0,125.0,23.0,0,3,5,4,3,11949.4
02128,0,852.0,515600.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,125.0,8.0,1,4,5,1,3,5970.65
02128,0,858.0,527200.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,125.0,8.0,1,4,5,1,3,6104.98
02128,1,1000.0,565100.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,3.0,125.0,8.0,1,4,5,1,3,2559.6400000000003
02128,0,2591.0,784400.0,5.0,2.0,0.0,2.0,8.0,0.0,0.0,3.0,120.0,21.0,0,3,6,3,3,9083.35
02128,0,2852.0,778400.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,95.0,95.0,0,3,5,4,3,9013.87
02128,0,3506.0,902900.0,6.0,3.0,0.0,3.0,14.0,0.0,2.0,3.0,120.0,12.0,0,3,6,4,3,10455.58
02128,1,2384.0,637400.0,5.0,2.0,0.0,2.0,8.0,0.0,0.0,2.0,105.0,105.0,0,3,5,3,3,3396.88
02128,0,2037.0,561500.0,3.0,2.0,0.0,2.0,8.0,0.0,0.0,2.0,120.0,120.0,0,3,6,3,3,6502.17
02128,1,2781.0,616300.0,4.0,2.0,1.0,2.0,8.0,0.0,2.0,2.0,120.0,29.0,0,3,5,2,3,3152.54
02128,0,4481.0,1053500.0,6.0,3.0,0.0,3.0,15.0,0.0,3.0,3.0,125.0,125.0,0,3,6,4,3,12199.53
02128,1,5092.0,1318300.0,9.0,3.0,0.0,3.0,16.0,0.0,0.0,3.0,125.0,125.0,0,4,0,4,3,11281.7
02128,1,3984.0,793600.0,3.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,125.0,125.0,0,3,2,4,3,5205.669999999999
02128,1,4372.0,965200.0,7.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,7192.8
02128,0,5200.0,1276400.0,9.0,3.0,0.0,3.0,18.0,0.0,0.0,3.0,125.0,5.0,0,4,2,4,3,14780.71
02128,0,5912.0,1261400.0,9.0,3.0,0.0,3.0,20.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,14607.01
02128,1,6295.0,1343000.0,12.0,4.0,0.0,4.0,18.0,0.0,0.0,3.0,115.0,5.0,0,3,6,4,3,11567.73
02128,1,5800.0,1128400.0,9.0,3.0,0.0,3.0,18.0,0.0,0.0,3.0,125.0,125.0,0,3,5,4,3,9082.66
02128,1,5360.0,927300.0,9.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,126.0,126.0,0,3,2,4,3,6753.919999999999
02128,0,5415.0,866300.0,9.0,3.0,0.0,3.0,17.0,0.0,0.0,3.0,95.0,41.0,0,3,6,4,3,10031.75
02128,0,4354.0,1291400.0,9.0,3.0,2.0,3.0,15.0,0.0,3.0,3.0,18.0,18.0,0,4,5,4,3,14954.41
02128,1,3501.0,896900.0,6.0,3.0,0.0,3.0,15.0,0.0,10.0,3.0,125.0,38.0,0,3,6,4,3,6401.89
02128,0,5028.0,870500.0,6.0,3.0,0.0,3.0,17.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,10080.39
02128,0,1806.0,703200.0,2.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,165.0,8.0,0,4,3,2,3,8143.06
02128,1,2354.0,696700.0,3.0,2.0,0.0,2.0,8.0,0.0,0.0,1.5,120.0,13.0,0,4,3,3,3,4083.5699999999997
02128,0,2934.0,848800.0,4.0,3.0,1.0,3.0,8.0,0.0,0.0,2.0,125.0,12.0,0,3,5,4,3,9829.1
