own_occ,gross_area,total_value,gross_tax,bed_rms,full_bth,hlf_bth,tt_rms,kitchens,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_quality,overall_condition_ranking,heat_type_rank,property_rank,zipcode_rank
1,2730.0,847100.0,9809.41,4.0,3.0,0.0,6.0,1.0,0.0,0.0,2.0,125.0,4.0,1,4,5,1,2
0,2964.0,707500.0,8192.85,5.0,3.0,0.0,11.0,3.0,0.0,0.0,3.0,125.0,56.0,0,3,6,4,2
0,2972.0,753000.0,8719.74,3.0,3.0,0.0,11.0,3.0,0.0,0.0,3.0,125.0,30.0,0,3,6,4,2
0,5552.0,1246200.0,14431.0,9.0,3.0,0.0,18.0,3.0,0.0,0.0,3.0,105.0,105.0,0,4,6,4,2
0,5372.0,1231200.0,14257.3,11.0,3.0,0.0,17.0,3.0,0.0,0.0,3.0,115.0,10.0,0,3,6,4,2
1,2779.0,723900.0,8382.76,4.0,2.0,0.0,8.0,2.0,0.0,0.0,2.0,115.0,115.0,0,3,6,3,2
0,2779.0,549600.0,6364.37,4.0,2.0,0.0,10.0,2.0,0.0,0.0,2.0,115.0,115.0,0,3,6,3,2
1,3156.0,626300.0,7252.55,3.0,2.0,0.0,9.0,2.0,0.0,0.0,2.0,105.0,105.0,0,3,2,3,2
0,3661.0,1018700.0,11796.55,6.0,4.0,0.0,16.0,3.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,2
0,4010.0,939300.0,10877.09,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,2
1,4636.0,1041500.0,12060.57,10.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,115.0,115.0,1,3,3,4,2
1,4235.0,1103900.0,12783.16,6.0,3.0,0.0,17.0,3.0,0.0,0.0,3.0,115.0,23.0,0,4,6,4,2
0,4238.0,869700.0,10071.13,5.0,2.0,0.0,10.0,2.0,0.0,2.0,2.0,115.0,115.0,0,3,6,3,2
1,5241.0,1072400.0,12418.39,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,115.0,23.0,0,3,6,4,2
1,4934.0,984000.0,11394.72,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,2
1,4543.0,800800.0,9273.26,6.0,2.0,0.0,12.0,3.0,0.0,0.0,2.0,115.0,115.0,0,3,6,3,2
0,4543.0,809700.0,9376.33,6.0,2.0,1.0,12.0,2.0,0.0,0.0,2.0,115.0,115.0,0,3,5,3,2
1,4128.0,958500.0,11099.43,9.0,3.0,0.0,17.0,2.0,0.0,0.0,2.0,115.0,33.0,0,3,6,3,2
0,6010.0,1113600.0,12895.49,9.0,3.0,0.0,20.0,3.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,2
1,4821.0,707400.0,8191.69,3.0,2.0,1.0,11.0,2.0,0.0,0.0,2.5,115.0,115.0,0,3,6,3,2
1,4540.0,1091900.0,12644.2,11.0,4.0,0.0,18.0,3.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,2
